编号,性质,标题,受理单位,作者,时间,状态,评论/点击
[85785],[建议],对市政府大楼的建议,书记信箱,Mfeiyang,2020-02-21,已回复,0/434
[85739],[诉求],龙圩四季广场,书记信箱,新村,2020-02-20,未回复,0/259
[85687],[举报],企业要诚信，政府要作为@万湖地产@龙圩区政府,书记信箱,突击队,2020-02-17,已受理,0/1287
[85686],[诉求],龙圩区广平镇封路问题,书记信箱,民生事儿,2020-02-17,已回复,0/513
[85676],[咨询],该企业在疫情防控期间是否符合规定复工？,书记信箱,民问政,2020-02-17,已受理,0/440
[85637],[诉求],石人冲凤翔小学附近一大批小车乱停乱放，有人管吗？,书记信箱,小梁同学,2020-02-15,已回复,1/241
[85633],[诉求],疫情防控,书记信箱,171558043,2020-02-15,已受理,0/208
[85628],[举报],关于84304受理文政没有回复，已经一个多月了,书记信箱,不会游水的鱼,2020-02-15,已受理,0/159
[85608],[诉求],一下雨打雷就停电，辜负了群众的期盼,书记信箱,星秀,2020-02-14,已受理,0/183
[85606],[诉求],农村有无证食品加工点食品安全监管部门该不该管,书记信箱,小雨点123,2020-02-14,已受理,0/123
[85587],[诉求],请问梧州市龙圩区广平镇何时才有口罩供应？,书记信箱,刘大大,2020-02-14,已回复,1/504
[85575],[举报],非法进驻小区的涉黑物业公司强行切断小区住户水电供应,书记信箱,刘三123,2020-02-13,已回复,1/556
[85568],[举报],梧州市博汇花园小区疫情管理情况,书记信箱,西江小市民,2020-02-13,已受理,0/293
[85564],[建议],建议富民一、二路中间设护栏,书记信箱,优酷,2020-02-13,已受理,0/220
[85554],[举报],小车乱停乱放,书记信箱,梁泽斌,2020-02-13,已受理,0/247
[85549],[举报],防疫期间聚众、扰民,书记信箱,邱美芳,2020-02-12,已受理,0/267
[85545],[其它],政府依法拆除违章建筑，以示公正还路于民,书记信箱,秋华,2020-02-12,已回复,0/459
[85538],[举报],反弹赚国难财,书记信箱,弹你,2020-02-12,已受理,0/301
[85523],[诉求],梧州市口罩供应问题何时解决好？,书记信箱,lbj00,2020-02-12,已回复,2/1101
[85516],[诉求],幸福里小区道路地基塌方，安全隐患极大！,书记信箱,cyb326,2020-02-11,已回复,2/335
[85468],[举报],防控防疫期间公然聚会并扰民,书记信箱,梁莹,2020-02-11,已回复,0/433
[85465],[建议],快来救救旺城小区的三百年古樟树,书记信箱,白云新雨,2020-02-11,已受理,0/591
[85455],[其它],卫生幼儿园捐款问题,书记信箱,山楂片,2020-02-10,未回复,0/537
[85451],[举报],疫情时期卖“假口罩”和酒精？违法吗？,书记信箱,YFXZ3936,2020-02-10,已回复,0/679
[85441],[举报],关于岑溪市市场监督局和烟草局，城监局的有关问题,书记信箱,346285242,2020-02-10,已受理,0/421
[85431],[咨询],为什么新冠状病毒如此蔓延的环境内单位要开始上班？,书记信箱,东石,2020-02-10,已回复,0/659
[85428],[咨询],现在从广东回梧州需要隔离14天吗？能进梧州市吗？,书记信箱,幸福的人,2020-02-09,已回复,0/886
[85401],[诉求],全市高音广播严重影响休息和学习，请重视！,书记信箱,梧州文明,2020-02-08,已回复,0/257
[85399],[举报],市教育局疫情期间散布谣言,书记信箱,无冕之王,2020-02-08,已回复,0/714
[85388],[诉求],疫情期间返梧,书记信箱,彳亍行,2020-02-08,已回复,0/319
[85387],[建议],建议立即将梧州市内所有的室内菜市场改为露天售卖,书记信箱,一名三中家长,2020-02-08,已回复,1/379
[85376],[建议],关于岑溪明都新城岑宏路口垃圾中转站噪音问题,书记信箱,127007,2020-02-08,已受理,0/168
[85361],[建议],医用一次性口罩,书记信箱,聂宜章,2020-02-07,已回复,0/361
[85360],[诉求],口罩预约到底是真是假,书记信箱,周家二小姐,2020-02-07,已回复,0/331
[85349],[举报],梧州海骏达花园小区的管理无序，无视防疫工作要求,书记信箱,jian91932,2020-02-07,已回复,0/924
[85348],[建议],应立即停止在居住集密区的高音喇叭播放,书记信箱,阳洋扬,2020-02-07,已回复,1/888
[85332],[举报],防疫期间要求上班不给补休,书记信箱,市民123456,2020-02-07,已回复,0/606
[85319],[咨询],抢购预约口罩的问题,书记信箱,巡城马就是我,2020-02-06,已回复,0/618
[85311],[诉求],不按期开工，妨碍周边居民身心健康,书记信箱,万事如意,2020-02-06,已受理,0/256
[85297],[举报],疫情期间聚众深夜打麻将,书记信箱,15677408668,2020-02-06,已回复,0/806
[85288],[诉求],口罩呢,书记信箱,萧亚轩的小男友,2020-02-05,已回复,1/588
[85286],[举报],石人冲这两条小路的小车长期乱停乱放,书记信箱,石人冲受害人,2020-02-05,已回复,1/350
[85239],[诉求],为什么油烟问題始終無法解決,书记信箱,绿色生机,2020-02-04,已受理,1/1426
[85236],[诉求],建议梧州封城,书记信箱,良民2020,2020-02-04,未回复,1/1241
[85233],[咨询],疫情期间政府要求饮食行业暂停营业,书记信箱,莫镇瑛,2020-02-03,未回复,0/1218
[85231],[诉求],关于梧州市各区市民买不到口罩的问题,书记信箱,螺蛳粉加鸭脚,2020-02-03,已回复,0/2583
