编号,性质,标题,受理单位,作者,时间,状态,评论/点击
[85560],[举报],持续几个月的扰民，再不处理以暴制暴,市长信箱,踢的一手好球,2020-02-13,已受理,0/593
[84544],[建议],藤县至梧州即梧藤公路，盘龙隧道，治标不治本,市长信箱,ahkieu,2020-01-10,已回复,0/1889
[84459],[建议],梧州至藤县公交车,市长信箱,原住民,2020-01-08,已回复,2/1496
[83677],[诉求],任免,市长信箱,lhrlgc,2019-12-22,已回复,0/2988
[83676],[诉求],聘任制,市长信箱,lhrlgc,2019-12-22,已回复,0/2800
[83673],[诉求],新设与学习,市长信箱,lhrlgc,2019-12-22,未回复,0/489
[82510],[诉求],岑溪市马路镇至波塘镇乡道很烂存在安全隐患,市长信箱,廖深光,2019-11-20,已受理,0/1066
[82062],[建议],关于建立过街天桥的建议,市长信箱,m1718,2019-11-09,已回复,1/1640
[81456],[诉求],人才引进,市长信箱,lhrlgc,2019-10-25,已回复,0/1770
[79702],[建议],有关新兴三路改造问题,市长信箱,广西侬队,2019-09-25,已回复,0/1222
[79455],[建议],关于设立长者饭堂,市长信箱,nus7557,2019-09-20,已回复,0/2019
[79341],[建议],优化城市容貌名片,市长信箱,知乎初见,2019-09-18,已回复,0/3183
[79094],[建议],第三代牙膏技术是拯救田七牙膏的最好方法,市长信箱,wqf448,2019-09-11,已回复,1/2459
[79065],[建议],希望能改善市内中小学图书馆的问题,市长信箱,nus7557,2019-09-11,已回复,0/1400
[78892],[举报],岑溪市第五中学强迫学生星期六在校补课,市长信箱,爱情保卫战,2019-09-08,已受理,0/1050
[78161],[建议],赤水港进港大道路面,市长信箱,zfh260704560,2019-08-26,已受理,0/1540
[77970],[诉求],梧州足球场何处找,市长信箱,三云散人,2019-08-21,已回复,0/1622
[77960],[建议],关于城市建设的建议,市长信箱,老啄木鸟,2019-08-21,已回复,0/964
[76105],[建议],三龙大道（西江三桥至长洲水利枢纽段）路面坑洼没有路灯,市长信箱,健康生活,2019-07-11,已回复,0/1992
[75904],[建议],希望政府能组织一下净滩活动,市长信箱,nus7557,2019-07-07,已回复,0/1971
[75515],[举报],神冠豪都物业梧州市冠裕物业服务有限公司是否黑恶势力,市长信箱,mrdavidxie,2019-06-29,已回复,1/2058
[75153],[建议],希望设立长者饭堂,市长信箱,nus7557,2019-06-22,已回复,2/666
[74018],[咨询],共享单车,市长信箱,wzzxr,2019-05-31,已回复,1/1860
[73752],[诉求],白云山冰泉豆浆馆道路阻塞,市长信箱,lsmiriam,2019-05-27,已回复,0/1094
[73037],[建议],老旧建筑保护维护与发展,市长信箱,梧藤天,2019-05-15,已回复,0/1426
[72740],[建议],关于城投停车管理问题,市长信箱,停车好贵,2019-05-09,已回复,0/2110
[72465],[诉求],新设与改变,市长信箱,lhrlgc,2019-05-04,已回复,0/13351
[71394],[建议],【新建公交车站更为倒退落后】,市长信箱,TWO2,2019-04-14,已回复,0/1537
[70692],[建议],强制性要求与信息共享,市长信箱,lhrlgc,2019-03-26,已回复,0/1552
[70420],[建议],新兴二路道路提升工程施工过程中的环保问题,市长信箱,脑子是好东西,2019-03-21,已回复,1/1372
[70371],[建议],我们真的做到了海纳百川了吗？,市长信箱,gxdjf,2019-03-20,已回复,1/2144
[70327],[建议],市长你说，西堤三路防洪堤改造提意见。,市长信箱,问政小公主,2019-03-19,已回复,1/1599
[69814],[咨询],三龙片区的道路设计问题,市长信箱,三江总汇彩虹雨,2019-03-08,已回复,0/2399
[69723],[建议],我本分开了14年车唯独到你们这里就高速违章了？,市长信箱,yigeyouke,2019-03-06,已回复,6/2524
[68872],[建议],潘塘公园应该趁这次改造增加荷花品种,市长信箱,问政小公主,2019-02-15,已回复,1/2398
[68558],[建议],执行,市长信箱,lhrlgc,2019-02-06,已回复,0/13571
[68556],[建议],改革,市长信箱,lhrlgc,2019-02-06,已回复,0/13582
[68544],[诉求],岑溪市大广场的十字路口的斑马线设计有问题,市长信箱,廖KJ15078122182,2019-02-06,已回复,0/1200
[68542],[举报],岑溪市商贸城内街的人行道全被广告牌霸占！谁管？,市长信箱,廖KJ15078122182,2019-02-06,已回复,0/1321
[68351],[建议],梧州市的在建已建桥应予以适合的名称公布,市长信箱,m1718,2019-01-30,已回复,0/1477
