编号,性质,标题,受理单位,作者,时间,状态,评论/点击
[85732],[建议],改变,市长信箱,lhrlgc,2020-02-19,未回复,0/139
[85671],[建议],开设,市长信箱,lhrlgc,2020-02-17,未回复,0/180
[85626],[建议],召集,市长信箱,lhrlgc,2020-02-15,已受理,0/90
[85567],[诉求],小区物业费说涨就涨的吗？就没有部门能管控一下吗？,市长信箱,沙雕日常,2020-02-13,已受理,0/358
[85521],[诉求],买不到口罩,市长信箱,gobby,2020-02-12,已回复,0/666
[85450],[诉求],监控,市长信箱,lhrlgc,2020-02-10,已回复,0/369
[85359],[诉求],防控,市长信箱,lhrlgc,2020-02-07,已受理,0/110
[85358],[诉求],监控,市长信箱,lhrlgc,2020-02-07,已回复,0/115
[85260],[诉求],关于试运行梧州市口罩预约在线系统的公告,市长信箱,m1718,2020-02-05,已受理,1/677
[85213],[举报],投诉违章建筑肉食加工场,市长信箱,朱生0,2020-02-03,已受理,0/946
[85015],[诉求],编号84137请尽快给出答复,市长信箱,lym5632,2020-01-23,已回复,0/3718
[84958],[诉求],[83937]已经超过15个工作日,市长信箱,山村农民,2020-01-21,已回复,0/2517
[84954],[诉求],蒙山县物价飞涨,市长信箱,猎手91,2020-01-21,已回复,1/2390
[84930],[咨询],丰业花园生活消防供水管网工程属哪个部门监管？,市长信箱,丰业369,2020-01-20,已受理,0/196
[84925],[咨询],为什么岑溪的医疗系统不按规定时间上下班？,市长信箱,xinyudesushuo,2020-01-20,已受理,1/777
[84820],[诉求],新兴路龙山路口不专业的导向线！！！,市长信箱,梧州老市民,2020-01-17,已受理,0/838
[84815],[建议],建议禁售禁燃烟花炮竹范围扩大到农村地区,市长信箱,lizhiye,2020-01-17,已受理,0/813
[84748],[诉求],要求盖好一个井盖这么小的问题提出20天后仍没有处理,市长信箱,山下人家,2020-01-15,已回复,0/733
[84695],[举报],彰泰玫瑰园车位不合格交付强制收费,市长信箱,彰泰车位,2020-01-14,已回复,0/511
