movieId, movieName, boxInfo, sumBoxInfo, avgShowView, boxRate, showInfo, avgSeatView, date
1279731,宠爱,11377.78,2.87亿,22,39.1%,151957,14.9%,2020-01-01
1190122,叶问4：完结篇,6454.63,8.28亿,26,22.2%,70690,19.8%,2020-01-01
1218273,误杀,4119.17,8.72亿,23,14.1%,52317,19.0%,2020-01-01
1298827,亲爱的新年好,1153.96,5335.9万,7,3.9%,51898,5.8%,2020-01-01
1196202,天使陷落,1063.65,2251.6万,18,3.6%,18944,17.6%,2020-01-01
247949,冰雪奇缘2,897.43,8.31亿,23,3.0%,12385,22.3%,2020-01-01
1228869,半个喜剧,716.09,1.49亿,19,2.4%,10444,19.4%,2020-01-01
443387,星球大战：天行者崛起,423.51,1.30亿,21,1.4%,4421,11.6%,2020-01-01
1298938,熊出没·狂野大陆,410.90,410.9万,62,1.4%,1904,49.6%,2020-01-01
1213293,小羊肖恩2：末日农场,381.85,1482.5万,13,1.3%,9870,13.1%,2020-01-01
1261203,解放·终局营救,333.82,2884.4万,56,1.1%,1058,63.7%,2020-01-01
1284594,我为你牺牲,315.29,1.45亿,34,1.0%,1322,44.5%,2020-01-01
1277939,我和我的祖国,235.11,30.89亿,64,0.8%,489,100%,2020-01-01
1297995,只有芸知道,185.55,1.53亿,10,0.6%,4980,12.2%,2020-01-01
1237279,特警队,124.61,5161.0万,9,0.4%,4302,9.3%,2020-01-01
346409,尼斯大冒险,90.37,415.1万,10,0.3%,3337,11.2%,2020-01-01
1220983,动物特工局,54.31,148.8万,45,0.1%,348,47.5%,2020-01-01
336934,横财局中局,52.73,389.6万,56,0.1%,212,74.6%,2020-01-01
1211270,哪吒之魔童降世,51.68,49.74亿,76,0.1%,110,100%,2020-01-01
1291012,为爱重生,47.30,2300.4万,63,0.1%,242,100%,2020-01-01
1230121,中国机长,42.45,28.84亿,86,0.1%,80,100%,2020-01-01
1299333,鹭世界,42.43,61.9万,5,0.1%,3518,4.3%,2020-01-01
1228776,下一任：前任,39.54,1.33亿,86,0.1%,51,--,2020-01-01
1301018,变化中的中国·生活因你而火热,35.76,699.5万,108,0.1%,28,100%,2020-01-01
1242130,古田军号,32.83,4715.8万,96,0.1%,59,--,2020-01-01
248906,流浪地球,30.39,46.55亿,97,0.1%,43,--,2020-01-01
1217125,勇敢者游戏2：再战巅峰,27.90,2.88亿,14,<0.1%,555,16.7%,2020-01-01
1301459,海林都,26.47,3433.2万,105,<0.1%,62,100%,2020-01-01
1203825,唐顿庄园,24.04,2181.6万,22,<0.1%,274,29.3%,2020-01-01
1218141,扫毒2天地对决,23.28,13.09亿,94,<0.1%,12,--,2020-01-01
1225993,雪人奇缘,19.13,1.18亿,69,<0.1%,35,100%,2020-01-01
1258163,利刃出鞘,18.63,1.99亿,26,<0.1%,171,28.8%,2020-01-01
1238837,天·火,13.79,1.63亿,11,<0.1%,208,16.8%,2020-01-01
1203046,坂本龙一：终曲,12.75,425.7万,16,<0.1%,199,17.7%,2020-01-01
344869,疯狂的外星人,11.81,22.10亿,79,<0.1%,19,--,2020-01-01
248172,复仇者联盟4：终局之战,10.65,42.49亿,71,<0.1%,23,100%,2020-01-01
1250700,攀登者,10.38,10.88亿,103,<0.1%,10,--,2020-01-01
1215114,廉政风云,9.28,1.16亿,217,<0.1%,14,100%,2020-01-01
1243361,烈火英雄,9.28,16.91亿,76,<0.1%,16,--,2020-01-01
1218091,飞驰人生,8.36,17.18亿,83,<0.1%,18,--,2020-01-01
1243904,动物出击,7.01,356.5万,73,<0.1%,15,--,2020-01-01
1217041,南方车站的聚会,6.81,2.02亿,13,<0.1%,117,20.0%,2020-01-01
1277527,那时风华,6.45,1361.4万,9,<0.1%,192,9.5%,2020-01-01
1218029,少年的你,6.34,15.56亿,59,<0.1%,14,--,2020-01-01
341823,罗宾汉：起源,4.95,421.8万,3,<0.1%,442,4.2%,2020-01-01
1216383,比悲伤更悲伤的故事,4.79,9.56亿,108,<0.1%,12,--,2020-01-01
1250610,乡村青年,4.66,918.1万,111,<0.1%,7,--,2020-01-01
1163219,决战中途岛,4.29,2.94亿,20,<0.1%,60,26.4%,2020-01-01
346640,长安道,4.29,2500.4万,72,<0.1%,12,--,2020-01-01
1217497,功夫四侠：勇闯地宫,4.26,369.1万,3,<0.1%,526,2.8%,2020-01-01
1179339,太空狗之月球大冒险,3.70,289.5万,6,<0.1%,226,7.4%,2020-01-01
1278147,古窑迷踪,3.59,55.4万,3,<0.1%,493,2.9%,2020-01-01
487449,心灵的阳光,3.18,1237.8万,119,<0.1%,8,--,2020-01-01
1277982,决胜时刻,2.95,1.19亿,39,<0.1%,14,100%,2020-01-01
1215605,速度与激情：特别行动,2.90,14.33亿,39,<0.1%,12,--,2020-01-01
1227006,吹哨人,2.69,5016.4万,10,<0.1%,51,30.7%,2020-01-01
1227611,小小的愿望,2.30,2.78亿,137,<0.1%,5,--,2020-01-01
1280176,顺天府奇案之国子监案,2.23,2.2万,64,<0.1%,14,100%,2020-01-01
1229534,银河补习班,2.18,8.71亿,44,<0.1%,9,100%,2020-01-01
1251174,打过长江去,2.00,2195.0万,71,<0.1%,7,100%,2020-01-01
1301296,野猪,1.88,1.8万,44,<0.1%,15,73.9%,2020-01-01
1263827,魔镜奇缘3,1.83,314.3万,6,<0.1%,131,8.7%,2020-01-01
1301444,妙先生,1.80,178.2万,1,<0.1%,574,9.4%,2020-01-01
343473,龙牌之谜,1.74,2026.0万,291,<0.1%,1,--,2020-01-01
