totalBox, splitTotalBox, queryDate
29063.7,26362.7,2020-01-01
totalBox, splitTotalBox, queryDate
9785.3,9038.3,2020-01-02
totalBox, splitTotalBox, queryDate
12522.7,11634.4,2020-01-03
totalBox, splitTotalBox, queryDate
17960.4,16552.6,2020-01-04
totalBox, splitTotalBox, queryDate
14857.8,13693.1,2020-01-05
totalBox, splitTotalBox, queryDate
9175.7,8617.2,2020-01-06
totalBox, splitTotalBox, queryDate
8917.5,8392.0,2020-01-07
totalBox, splitTotalBox, queryDate
8664.2,8102.3,2020-01-08
totalBox, splitTotalBox, queryDate
7526.5,6958.8,2020-01-09
totalBox, splitTotalBox, queryDate
10003.2,9178.8,2020-01-10
totalBox, splitTotalBox, queryDate
14076.5,12858.0,2020-01-11
totalBox, splitTotalBox, queryDate
12185.5,11112.3,2020-01-12
totalBox, splitTotalBox, queryDate
6866.1,6294.5,2020-01-13
totalBox, splitTotalBox, queryDate
6682.1,6114.2,2020-01-14
totalBox, splitTotalBox, queryDate
6468.5,5914.4,2020-01-15
totalBox, splitTotalBox, queryDate
6697.8,6131.7,2020-01-16
totalBox, splitTotalBox, queryDate
7110.0,6471.2,2020-01-17
totalBox, splitTotalBox, queryDate
9123.0,8309.9,2020-01-18
totalBox, splitTotalBox, queryDate
6667.9,6067.4,2020-01-19
totalBox, splitTotalBox, queryDate
5908.3,5363.6,2020-01-20
totalBox, splitTotalBox, queryDate
5276.8,4787.9,2020-01-21
totalBox, splitTotalBox, queryDate
4302.4,3914.1,2020-01-22
totalBox, splitTotalBox, queryDate
2549.1,2320.5,2020-01-23
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-24
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-25
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-26
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-27
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-28
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-29
totalBox, splitTotalBox, queryDate
0.0,0.0,2020-01-30
